cohort1	subcohort1	cohort2	subcohort2	ancestry1	ancestry2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
EXCEED	202010	HUNT	hospital_all_20190625	eur	eur	1.0531	1.294	0.8138	0.4157	0.0998	0.0239	0.9935	0.0075	-0.0043	0.0051
EXCEED	202010	iPSYCH	2012_HRC	eur	eur	0.4824	0.4472	1.0786	0.2807	0.1444	0.0159	1.0287	0.0106	-0.0043	0.0064
EXCEED	202010	iPSYCH	2015i_HRC	eur	eur	0.8955	1.5502	0.5777	0.5635	0.1161	0.0222	0.9958	0.0087	-3e-4	0.0058
EXCEED	202010	lgic2	202011	eur	eur	0.0419	0.7902	0.0531	0.9577	0.2015	0.0839	0.9956	0.0074	0.0028	0.0053
EXCEED	202010	MDD29	0120a_rmUKBB	eur	eur	1.4838	2.3881	0.6213	0.5344	0.1137	0.0153	0.9866	0.0088	-0.0056	0.0059
EXCEED	202010	MDD47	29w2_18w3_1503	eur	eur	0.8564	0.7324	1.1692	0.2423	0.0785	0.0087	1.0069	0.0084	-0.0011	0.0062
EXCEED	202010	MoBa	harvest12	eur	eur	1.0263	1.1484	0.8937	0.3715	0.0795	0.05	0.9897	0.0083	-0.011	0.006
EXCEED	202010	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EXCEED	202010	MoBa	rotterdam1	eur	eur	2.0296	2.9499	0.688	0.4914	0.0769	0.053900000000000003	0.9948	0.0076	-0.0057	0.0055
EXCEED	202010	MVP	ICDdep_AllSex_202101	eur	eur	0.9703	1.0022	0.9681	0.333	0.0486	0.0035	1.0254	0.0099	-0.0047	0.0054
EXCEED	202010	PBK	2020	eur	eur	0.6981	0.8834	0.7902	0.4294	0.0515	0.02	1.002	0.0066	0.0016	0.0052
EXCEED	202010	PGC	wray2018	eur	eur	0.7927	0.7395	1.072	0.2837	0.0565	0.0024	1.0062	0.0115	-0.0044	0.0068
EXCEED	202010	PREFECT	run1	eur	eur	0.627	0.5529	1.134	0.2568	0.4539	0.1069	0.997	0.0082	0.0041	0.005
EXCEED	202010	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0628	0.0517	1.0116	0.0077	-0.0073	0.0058
EXCEED	202010	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0746	0.2963	1.0028	0.0075	0.0035	0.0048
EXCEED	202010	UKBB	MD_glm_202012	eur	eur	1.4442	1.5261	0.9463	0.344	0.0296	0.0019	1.016	0.0087	-0.0063	0.0055
FinnGen	R5_18032020	deCODE	DEPALL_FINAL_WHEAD	eur	eur	1.0229	0.1099	9.3073	1.3107e-20	0.0841	0.0104	1.0014	0.0076	-0.0013	0.0051
FinnGen	R5_18032020	GenScot	1215a	eur	eur	0.5608	0.242	2.3178	0.0205	0.102	0.0562	0.9931	0.0061	6e-4	0.0049
FinnGen	R5_18032020	GERA	0915a_mds5	eur	eur	0.9469	0.1598	5.9263	3.0975e-9	0.0411	0.0104	0.9957	0.0073	-0.0036	0.0049
FinnGen	R5_18032020	HUNT	gp_all_20190625	eur	eur	0.7178	0.1949	3.6832	2e-4	0.0379	0.0153	1.0108	0.0071	0.0096	0.0054
FinnGen	R5_18032020	HUNT	hospital_all_20190625	eur	eur	0.9052	0.145	6.2409	4.3515e-10	0.0983	0.0228	0.9923	0.0071	4e-4	0.0048
FinnGen	R5_18032020	iPSYCH	2012_HRC	eur	eur	0.8432	0.0764	11.0411	2.4217e-28	0.1464	0.0154	1.0256	0.0097	0.0098	0.0061
FinnGen	R5_18032020	iPSYCH	2015i_HRC	eur	eur	0.8496	0.1287	6.5986	4.1502e-11	0.1101	0.0213	0.999	0.0082	7e-4	0.0058
FinnGen	R5_18032020	lgic2	202011	eur	eur	0.5094	0.1782	2.8592	0.0042	0.1847	0.0787	0.9969	0.007	-0.0026	0.0047
FinnGen	R5_18032020	MDD29	0120a_rmUKBB	eur	eur	0.8696	0.0902	9.6373	5.5619e-22	0.1128	0.0147	0.9862	0.0084	-0.0057	0.006
FinnGen	R5_18032020	MDD47	29w2_18w3_1503	eur	eur	1.0253	0.0838	12.2307	2.1302e-34	0.0768	0.0085	1.0081	0.0079	-0.0087	0.0056
FinnGen	R5_18032020	MoBa	harvest12	eur	eur	0.7267	0.4025	1.8057	0.071	0.0549	0.051	0.9978	0.0084	-0.0046	0.0061
FinnGen	R5_18032020	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FinnGen	R5_18032020	MoBa	rotterdam1	eur	eur	0.848	0.5654	1.4998	0.1337	0.044	0.0531	1.0039	0.0077	0.0023	0.0063
FinnGen	R5_18032020	MVP	ICDdep_AllSex_202101	eur	eur	0.8656	0.0674	12.8344	1.0518e-37	0.0487	0.0034	1.0217	0.0092	-0.001	0.0062
FinnGen	R5_18032020	PBK	2020	eur	eur	0.7828	0.1803	4.3406	1.4207e-5	0.0595	0.0192	0.9986	0.0063	0.0043	0.0053
FinnGen	R5_18032020	PGC	wray2018	eur	eur	0.9256	0.0589	15.7109	1.2741e-55	0.0559	0.0024	1.0055	0.0102	-7e-4	0.0067
FinnGen	R5_18032020	PREFECT	run1	eur	eur	0.6248	0.1139	5.4873	4.0812e-8	0.5018	0.1024	0.9902	0.0077	0.0043	0.0063
FinnGen	R5_18032020	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0693	0.0523	1.0132	0.0078	7e-4	0.0064
FinnGen	R5_18032020	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0348	0.2899	0.9994	0.007	-0.0013	0.0053
FinnGen	R5_18032020	UKBB	MD_glm_202012	eur	eur	0.963	0.0684	14.0757	5.3546e-45	0.0297	0.0018	1.0119	0.0074	0.0022	0.0056
GenScot	1215a	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.6811	0.2675	2.5466	0.0109	0.0828	0.0104	1.0033	0.008	-0.0012	0.0047
GenScot	1215a	HUNT	gp_all_20190625	eur	eur	0.9656	0.5466	1.7665	0.0773	0.042	0.0152	1.0085	0.0068	-0.0044	0.005
GenScot	1215a	HUNT	hospital_all_20190625	eur	eur	0.2633	0.3116	0.8449	0.3982	0.099	0.0234	0.9928	0.0073	0.0065	0.0051
GenScot	1215a	iPSYCH	2012_HRC	eur	eur	0.6796	0.5997	1.1331	0.2572	0.1479	0.015	1.0264	0.0098	0.009	0.0054
GenScot	1215a	iPSYCH	2015i_HRC	eur	eur	0.2769	0.3003	0.9218	0.3566	0.1125	0.0223	0.998	0.0084	0.0038	0.0054
GenScot	1215a	lgic2	202011	eur	eur	0.2757	0.4295	0.6419	0.5209	0.1987	0.0886	0.9953	0.0073	-8.6879e-5	0.0054
GenScot	1215a	MDD29	0120a_rmUKBB	eur	eur	0.7869	0.3801	2.0702	0.0384	0.1144	0.0152	0.9857	0.0083	1e-4	0.0052
GenScot	1215a	MDD47	29w2_18w3_1503	eur	eur	0.6143	0.3171	1.9374	0.0527	0.0769	0.0087	1.0095	0.0081	0.0062	0.0051
GenScot	1215a	MoBa	harvest12	eur	eur	-0.3079	0.7917	-0.3889	0.6973	0.0557	0.05	0.9977	0.0085	0.0057	0.0056
GenScot	1215a	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
